חשבון קרן,קרן,שם קרן,מספר נייר,שם נייר/סוג חשבון,מטבע,ערך נקוב,שער נייר,שער מטבע,"סה""כ ש""ח"
,5125208,חשבון פיקטיבי השק50/50,71349906,GOOG,"דולרים של ארה""ב",150,125.43,3.7286,70151.74
,5125208,חשבון פיקטיבי השק50/50,71356851,JD,"דולרים של ארה""ב",250,33.1,3.7286,30854.17
,5125208,חשבון פיקטיבי השק50/50,71437578,BABA,"דולרים של ארה""ב",300,80.97,3.7286,90571.42
,5125208,חשבון פיקטיבי השק50/50,71767750,AT1 GY,אירו,6360,0.904,3.9924,22954.06
,5125208,חשבון פיקטיבי השק50/50,71947642,BHF,"דולרים של ארה""ב",270,41.44,3.7286,41718.56
,5125208,חשבון פיקטיבי השק50/50,72745896,MSOS,"דולרים של ארה""ב",750,5.37,3.7286,15016.94
,5125208,חשבון פיקטיבי השק50/50,73119208,UKRAIN 7.2,"דולרים של ארה""ב",189000,18.954,3.7286,133569.86
,5125208,חשבון פיקטיבי השק50/50,73641268,WBD,"דולרים של ארה""ב",1550,11.44,3.7286,66115.54
,5127165,חשבון פיקטיבי אינטרנט US,0,שווי נטו,,0,0,0,51227206.13
,5127165,חשבון פיקטיבי אינטרנט US,0,יצירות פדיונות,,0,0,0,0
,5127165,חשבון פיקטיבי אינטרנט US,0,הכנסות/הוצאות,,0,0,0,-2256.04
,5127165,חשבון פיקטיבי אינטרנט US,0,"עו""ש בש""ח",,0,0,0,-16430.2
,5127165,חשבון פיקטיבי אינטרנט US,0,"עו""ש עתידי בש""ח",,0,0,0,-64.98
,5127165,חשבון פיקטיבי אינטרנט US,0,"עו""ש במט""ח","דולרים של ארה""ב",1619.85,0,0,6039.77
,5127165,חשבון פיקטיבי אינטרנט US,0,"עו""ש עתידי בש""ח","דולרים של ארה""ב",-171.53,0,0,-639.57
,5127165,חשבון פיקטיבי אינטרנט US,2774,ZD,"דולרים של ארה""ב",399,60.65,3.7286,90229.7
,5127165,חשבון פיקטיבי אינטרנט US,55749,AMZN,"דולרים של ארה""ב",12595,120.11,3.7286,5640571.83
,5127165,חשבון פיקטיבי אינטרנט US,55848,EBAY,"דולרים של ארה""ב",4677,44.36,3.7286,773579.06
,5127165,חשבון פיקטיבי אינטרנט US,58164,BKNG,"דולרים של ארה""ב",219,2591.13,3.7286,2115821.92
,5127165,חשבון פיקטיבי אינטרנט US,60558,EXPE,"דולרים של ארה""ב",1270,96.35,3.7286,456248.27
,5127165,חשבון פיקטיבי אינטרנט US,62281,AKAM,"דולרים של ארה""ב",1335,90.57,3.7286,450828.57
,5127165,חשבון פיקטיבי אינטרנט US,64600,JNPR,"דולרים של ארה""ב",2762,30.5,3.7286,314100.99
,5127165,חשבון פיקטיבי אינטרנט US,65888,VRSN,"דולרים של ארה""ב",897,225.99,3.7286,755835.8
,5127165,חשבון פיקטיבי אינטרנט US,89284,WSM,"דולרים של ארה""ב",568,113.61,3.7286,240608.35
,5127165,חשבון פיקטיבי אינטרנט US,89284,WSM,"דולרים של ארה""ב",0.01,0,3.7286,0.04
,5127165,חשבון פיקטיבי אינטרנט US,71001549,CPRT,"דולרים של ארה""ב",3716,87.88,3.7286,1217619.37
,5127165,חשבון פיקטיבי אינטרנט US,71020382,NFLX,"דולרים של ארה""ב",1674,378.88,3.7286,2364846.35
,5127165,חשבון פיקטיבי אינטרנט US,71028872,GOOGL,"דולרים של ארה""ב",6493,124.61,3.7286,3016783.15
,5127165,חשבון פיקטיבי אינטרנט US,71041867,CCOI,"דולרים של ארה""ב",371,63.37,3.7286,87660.39
,5127165,חשבון פיקטיבי אינטרנט US,71041867,CCOI,"דולרים של ארה""ב",261.57,0,3.7286,975.29
,5127165,חשבון פיקטיבי אינטרנט US,71046338,CRM,"דולרים של ארה""ב",6520,215.44,3.7286,5237448.09
,5127165,חשבון פיקטיבי אינטרנט US,71100663,IBKR,"דולרים של ארה""ב",855,78.34,3.7286,249744.24
,5127165,חשבון פיקטיבי אינטרנט US,71112593,VMW,"דולרים של ארה""ב",1835,133.24,3.7286,911625.55
,5127165,חשבון פיקטיבי אינטרנט US,71225817,BOX,"דולרים של ארה""ב",1185,27.74,3.7286,122566.17
,5127165,חשבון פיקטיבי אינטרנט US,71266043,TW,"דולרים של ארה""ב",955,69.03,3.7286,245802.92
,5127165,חשבון פיקטיבי אינטרנט US,71267918,YELP,"דולרים של ארה""ב",559,33.9,3.7286,70657.34
,5127165,חשבון פיקטיבי אינטרנט US,71273692,CSGP,"דולרים של ארה""ב",3473,78.49,3.7286,1016400.59
,5127165,חשבון פיקטיבי אינטרנט US,71275010,META,"דולרים של ארה""ב",6021,262.04,3.7286,5882771.95
,5127165,חשבון פיקטיבי אינטרנט US,71288906,WDAY,"דולרים של ארה""ב",1724,216.07,3.7286,1388920.95
,5127165,חשבון פיקטיבי אינטרנט US,71298640,MKTX,"דולרים של ארה""ב",317,279.28,3.7286,330099.52
,5127165,חשבון פיקטיבי אינטרנט US,71300875,NOW,"דולרים של ארה""ב",1226,537.46,3.7286,2456871.33
,5127165,חשבון פיקטיבי אינטרנט US,71315857,NTCT,"דולרים של ארה""ב",591,30.99,3.7286,68289.64
,5127165,חשבון פיקטיבי אינטרנט US,71321426,ENV,"דולרים של ארה""ב",457,52.68,3.7286,89765.15
,5127165,חשבון פיקטיבי אינטרנט US,71322986,RNG,"דולרים של ארה""ב",727,34.78,3.7286,94277.87
,5127165,חשבון פיקטיבי אינטרנט US,71325021,VEEV,"דולרים של ארה""ב",1209,165.48,3.7286,745963.55
,5127165,חשבון פיקטיבי אינטרנט US,71348007,PCTY,"דולרים של ארה""ב",361,172.61,3.7286,232337.31
,5127165,חשבון פיקטיבי אינטרנט US,71349906,GOOG,"דולרים של ארה""ב",5670,125.43,3.7286,2651735.95
,5127165,חשבון פיקטיבי אינטרנט US,71350300,FIVN,"דולרים של ארה""ב",597,58.8,3.7286,130887.28
,5127165,חשבון פיקטיבי אינטרנט US,71365308,ANET,"דולרים של ארה""ב",2041,170.35,3.7286,1296375.87
